ESTU_GENERO;ESTU_AREARESIDE;ESTU_VALORMATRICULAUNIVERSIDAD;ESTU_PAGOMATRICULABECA;ESTU_PAGOMATRICULACREDITO;ESTU_PAGOMATRICULAPADRES;ESTU_PAGOMATRICULAPROPIO;ESTU_COMOCAPACITOEXAMENSB11;FAMI_EDUCACIONPADRE;FAMI_EDUCACIONMADRE;FAMI_VIVIENDA;FAMI_TIENEINTERNET;FAMI_TIENECOMPUTADOR;FAMI_TRABAJOLABORPADRE;FAMI_TRABAJOLABORMADRE;ESTU_HORASSEMANATRABAJA;ESTU_PRGM_ACADEMICO;MOD_RAZONA_CUANTITAT_PUNT;MOD_LECTURA_CRITICA_PUNT;MOD_COMPETEN_CIUDADA_PUNT;MOD_INGLES_PUNT;MOD_COMUNI_ESCRITA_PUNT;PUNT_GLOBAL
F;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;Toma un curso de preparacion;;;;;;;;;LICENCIATURA EN CIENCIAS SOCIALES;2;3;2;1;2;109
M;Cabecera Municipal;Menos de 500 mil;Si;No;No;Si;Repasa por cuenta propia;Primaria incompleta;Primaria incompleta;1;No;Si;Es agricultor, pesquero o jornalero;Es agricultor, pesquero o jornalero;Entre 11 y 20 horas;LICENCIATURA EN CIENCIAS SOCIALES;2;2;2;2;2;125
F;Area Rural;Menos de 500 mil;Si;No;Si;No;Toma un curso de preparacion;Ninguno;Primaria completa;1;No;Si;Pensionado;Ninguno;Menos de 10 horas;LICENCIATURA EN CIENCIAS SOCIALES;2;3;2;2;3;133
F;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;Toma un curso de preparacion;;;;;;;;;LICENCIATURA EN CIENCIAS SOCIALES;3;3;3;2;3;157
M;Cabecera Municipal;Menos de 500 mil;Si;No;Si;No;Toma un curso de preparacion;Tecnica o tecnologica completa;Educacion profesional completa;2;Si;Si;Es due駉 de un negocio peque駉 (tiene pocos empleados o no tiene, por ejemplo tienda, papelera, etc;Trabaja en el hogar, no trabaja o estudia;Menos de 10 horas;LICENCIATURA EN CIENCIAS SOCIALES;2;3;3;3;3;160
F;Cabecera Municipal;Menos de 500 mil;Si;No;Si;No;Toma un curso de preparacion;Primaria incompleta;Tecnica o tecnologica completa;1;No;No;;;Menos de 10 horas;LICENCIATURA EN CIENCIAS SOCIALES;2;2;2;2;3;138
M;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;Toma un curso de preparacion;Primaria completa;Secundaria (Bachillerato) incompleta;2;No;No;Es operario de maquinas o conduce vehiculos (taxita, chofer);Trabaja en el hogar, no trabaja o estudia;Menos de 10 horas;LICENCIATURA EN CIENCIAS SOCIALES;2;3;3;2;3;162
M;Cabecera Municipal;Menos de 500 mil;No;Si;No;No;Repasa por cuenta propia;Secundaria (Bachillerato) completa;Tecnica o tecnologica completa;2;Si;No;Es agricultor, pesquero o jornalero;Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);Entre 21 y 30 horas;LICENCIATURA EN CIENCIAS SOCIALES;2;3;3;2;2;145
F;Cabecera Municipal;Menos de 500 mil;No;No;Si;Si;Toma un curso de preparacion;Primaria incompleta;Primaria incompleta;2;No;Si;Es due駉 de un negocio peque駉 (tiene pocos empleados o no tiene, por ejemplo tienda, papelera, etc;Es due駉 de un negocio peque駉 (tiene pocos empleados o no tiene, por ejemplo tienda, papelera, etc;0;LICENCIATURA EN CIENCIAS SOCIALES;3;3;3;2;3;172
M;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;Toma un curso de preparacion;Secundaria (Bachillerato) incompleta;Primaria incompleta;1;No;No;Trabaja por cuenta propia (por ejemplo plomero, electricista);Trabaja en el hogar, no trabaja o estudia;Entre 11 y 20 horas;LICENCIATURA EN CIENCIAS SOCIALES;2;3;3;2;3;162
F;Cabecera Municipal;Menos de 500 mil;No;No;No;Si;Toma un curso de preparacion;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) incompleta;2;No;Si;Es vendedor o trabaja en atencion al publico;Trabaja en el hogar, no trabaja o estudia;Mas de 30 horas;LICENCIATURA EN CIENCIAS SOCIALES;2;3;2;3;2;149
F;Cabecera Municipal;Menos de 500 mil;No;No;Si;Si;Repasa por cuenta propia;Ninguno;Educacion profesional completa;1;Si;Si;Ninguno;Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);Entre 11 y 20 horas;LICENCIATURA EN CIENCIAS SOCIALES;2;3;3;3;3;166
F;Area Rural;Menos de 500 mil;Si;No;Si;No;Repasa por cuenta propia;Primaria completa;Secundaria (Bachillerato) completa;2;Si;Si;Trabaja como personal de limpieza, mantenimiento, seguridad o construccion;Es vendedor o trabaja en atencion al publico;0;LICENCIATURA EN CIENCIAS SOCIALES;3;3;3;2;2;155
F;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;Toma un curso de preparacion;Tecnica o tecnologica completa;Secundaria (Bachillerato) completa;2;Si;Si;Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);0;LICENCIATURA EN CIENCIAS SOCIALES;3;3;3;2;2;158
F;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;Toma un curso de preparacion;Tecnica o tecnologica incompleta;Educacion profesional completa;2;Si;Si;Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);Trabaja en el hogar, no trabaja o estudia;0;LICENCIATURA EN CIENCIAS SOCIALES;2;3;3;3;4;178
F;Area Rural;Menos de 500 mil;No;No;No;Si;Toma un curso de preparacion;Primaria incompleta;Primaria incompleta;1;No;Si;Trabaja en el hogar, no trabaja o estudia;Trabaja en el hogar, no trabaja o estudia;Mas de 30 horas;LICENCIATURA EN CIENCIAS SOCIALES;2;3;2;2;3;143
F;Area Rural;Menos de 500 mil;No;No;Si;No;No realiza ninguna prueba de preparacion;Primaria completa;Primaria incompleta;2;No;Si;Trabaja como personal de limpieza, mantenimiento, seguridad o construccion;Trabaja en el hogar, no trabaja o estudia;0;LICENCIATURA EN CIENCIAS SOCIALES;2;2;3;3;2;145
F;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;Toma un curso de preparacion;Primaria incompleta;Primaria incompleta;1;No;Si;Es agricultor, pesquero o jornalero;Trabaja en el hogar, no trabaja o estudia;Entre 11 y 20 horas;LICENCIATURA EN CIENCIAS SOCIALES;2;2;2;3;2;141
F;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;Toma un curso de preparacion;Primaria completa;Primaria completa;1;No;Si;Trabaja por cuenta propia (por ejemplo plomero, electricista);Trabaja en el hogar, no trabaja o estudia;Menos de 10 horas;LICENCIATURA EN CIENCIAS SOCIALES;2;2;2;2;3;151
M;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;Repasa por cuenta propia;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;1;Si;Si;Trabaja por cuenta propia (por ejemplo plomero, electricista);Trabaja en el hogar, no trabaja o estudia;Mas de 30 horas;LICENCIATURA EN CIENCIAS SOCIALES;3;3;3;3;2;161
F;Area Rural;Menos de 500 mil;No;No;Si;No;Repasa por cuenta propia;Primaria incompleta;Secundaria (Bachillerato) completa;1;Si;Si;Trabaja por cuenta propia (por ejemplo plomero, electricista);Trabaja en el hogar, no trabaja o estudia;0;LICENCIATURA EN CIENCIAS SOCIALES;3;3;3;3;3;167
M;Cabecera Municipal;Entre 500 mil y menos de 1 millon;No;No;Si;No;Repasa por cuenta propia;Educacion profesional completa;Secundaria (Bachillerato) completa;3;Si;Si;Pensionado;Trabaja en el hogar, no trabaja o estudia;Entre 21 y 30 horas;LICENCIATURA EN CIENCIAS SOCIALES;2;2;2;3;3;144
F;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;Toma un curso de preparacion;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) incompleta;1;Si;Si;Trabaja por cuenta propia (por ejemplo plomero, electricista);Trabaja en el hogar, no trabaja o estudia;Entre 11 y 20 horas;LICENCIATURA EN CIENCIAS SOCIALES;3;3;3;3;3;163
F;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;Toma un curso de preparacion;Educacion profesional completa;Tecnica o tecnologica completa;2;Si;Si;Es due駉 de un negocio peque駉 (tiene pocos empleados o no tiene, por ejemplo tienda, papelera, etc;Es due駉 de un negocio peque駉 (tiene pocos empleados o no tiene, por ejemplo tienda, papelera, etc;Menos de 10 horas;LICENCIATURA EN CIENCIAS SOCIALES;3;3;3;3;3;188
M;Cabecera Municipal;Menos de 500 mil;No;No;No;Si;Repasa por cuenta propia;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) incompleta;2;Si;Si;Es operario de maquinas o conduce vehiculos (taxita, chofer);Es due駉 de un negocio peque駉 (tiene pocos empleados o no tiene, por ejemplo tienda, papelera, etc;Entre 21 y 30 horas;LICENCIATURA EN CIENCIAS SOCIALES;2;2;3;3;3;162
M;Cabecera Municipal;Menos de 500 mil;No;No;Si;Si;Repasa por cuenta propia;Primaria incompleta;Primaria completa;2;Si;Si;Es vendedor o trabaja en atencion al publico;Trabaja en el hogar, no trabaja o estudia;Entre 11 y 20 horas;LICENCIATURA EN CIENCIAS SOCIALES;2;3;3;3;3;163
M;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;No realiza ninguna prueba de preparacion;Primaria completa;Primaria incompleta;2;Si;Si;Trabaja por cuenta propia (por ejemplo plomero, electricista);Trabaja en el hogar, no trabaja o estudia;Entre 21 y 30 horas;INGENIERIA AMBIENTAL;3;3;3;3;2;167
M;Cabecera Municipal;Menos de 500 mil;No;No;Si;Si;Repasa por cuenta propia;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;1;Si;Si;Es vendedor o trabaja en atencion al publico;Trabaja en el hogar, no trabaja o estudia;0;INGENIERIA AMBIENTAL;3;3;3;2;2;158
M;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;Repasa por cuenta propia;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;2;Si;Si;Es due駉 de un negocio peque駉 (tiene pocos empleados o no tiene, por ejemplo tienda, papelera, etc;Es due駉 de un negocio peque駉 (tiene pocos empleados o no tiene, por ejemplo tienda, papelera, etc;Entre 21 y 30 horas;INGENIERIA AMBIENTAL;3;2;2;3;2;159
F;Cabecera Municipal;Entre 500 mil y menos de 1 millon;No;No;Si;No;Repasa por cuenta propia;Postgrado;Educacion profesional incompleta;3;Si;Si;Trabaja como profesional (por ejemplo medico, abogado, ingeniero);Es due駉 de un negocio grande, tiene un cargo de nivel directivo o gerencial;0;INGENIERIA AMBIENTAL;3;3;3;3;2;175
F;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;No realiza ninguna prueba de preparacion;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;1;Si;Si;Trabaja en el hogar, no trabaja o estudia;Trabaja en el hogar, no trabaja o estudia;Menos de 10 horas;INGENIERIA AMBIENTAL;3;3;3;3;2;168
F;Cabecera Municipal;Menos de 500 mil;Si;No;Si;No;Repasa por cuenta propia;Primaria incompleta;Primaria incompleta;1;Si;;Trabaja en el hogar, no trabaja o estudia;Es due駉 de un negocio peque駉 (tiene pocos empleados o no tiene, por ejemplo tienda, papelera, etc;;INGENIERIA AMBIENTAL;3;3;2;2;3;157
F;Cabecera Municipal;Menos de 500 mil;No;Si;Si;No;Repasa por cuenta propia;Tecnica o tecnologica completa;Tecnica o tecnologica completa;2;Si;Si;Es operario de maquinas o conduce vehiculos (taxita, chofer);Trabaja como personal de limpieza, mantenimiento, seguridad o construcci贸n;Menos de 10 horas;INGENIERIA AMBIENTAL;3;3;3;3;2;179
M;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;Repasa por cuenta propia;Secundaria (Bachillerato) completa;Tecnica o tecnologica completa;1;Si;Si;Es operario de maquinas o conduce vehiculos (taxita, chofer);Trabaja en el hogar, no trabaja o estudia;Entre 11 y 20 horas;INGENIERIA AMBIENTAL;3;3;3;3;3;173
M;Cabecera Municipal;Menos de 500 mil;No;No;No;Si;No realiza ninguna prueba de preparacion;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) incompleta;2;Si;Si;Trabaja como personal de limpieza, mantenimiento, seguridad o construccion;No aplica;Menos de 10 horas;INGENIERIA AMBIENTAL;3;3;3;3;2;187
F;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;Repasa por cuenta propia;Secundaria (Bachillerato) completa;Primaria incompleta;1;No;No;Es agricultor, pesquero o jornalero;Trabaja en el hogar, no trabaja o estudia;Entre 21 y 30 horas;INGENIERIA AMBIENTAL;2;2;2;2;2;133
F;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;Repasa por cuenta propia;Tecnica o tecnologica completa;Secundaria (Bachillerato) incompleta;1;Si;Si;Es due駉 de un negocio peque駉 (tiene pocos empleados o no tiene, por ejemplo tienda, papelera, etc;Es due駉 de un negocio peque駉 (tiene pocos empleados o no tiene, por ejemplo tienda, papelera, etc;0;INGENIERIA AMBIENTAL;3;2;3;2;2;154
F;Area Rural;Menos de 500 mil;Si;Si;Si;No;No realiza ninguna prueba de preparacion;Primaria incompleta;Secundaria (Bachillerato) completa;1;No;No;Es agricultor, pesquero o jornalero;Trabaja en el hogar, no trabaja o estudia;0;INGENIERIA AMBIENTAL;2;2;2;2;3;146
F;Cabecera Municipal;Entre 500 mil y menos de 1 millon;Si;No;Si;No;Repasa por cuenta propia;Tecnica o tecnologica completa;Tecnica o tecnologica completa;1;Si;Si;Trabaja como profesional (por ejemplo medico, abogado, ingeniero);Trabaja como profesional (por ejemplo medico, abogado, ingeniero);Entre 11 y 20 horas;INGENIERIA AMBIENTAL;3;3;3;3;3;193
F;Cabecera Municipal;Menos de 500 mil;No;Si;No;No;Repasa por cuenta propia;Primaria incompleta;Primaria incompleta;1;No;Si;Trabaja en el hogar, no trabaja o estudia;Trabaja en el hogar, no trabaja o estudia;Entre 21 y 30 horas;INGENIERIA AMBIENTAL;3;3;3;3;2;178
M;Cabecera Municipal;Menos de 500 mil;No;No;Si;Si;Repasa por cuenta propia;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;4;Si;Si;Trabaja por cuenta propia (por ejemplo plomero, electricista);Trabaja en el hogar, no trabaja o estudia;0;INGENIERIA AMBIENTAL;3;2;2;3;2;142
M;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;No realiza ninguna prueba de preparacion;Tecnica o tecnologica completa;Secundaria (Bachillerato) incompleta;2;Si;Si;Trabaja en el hogar, no trabaja o estudia;Trabaja en el hogar, no trabaja o estudia;0;INGENIERIA AMBIENTAL;3;2;2;2;2;120
F;Cabecera Municipal;Menos de 500 mil;No;No;No;Si;No realiza ninguna prueba de preparacion;Educacion profesional completa;Educacion profesional completa;3;Si;Si;Trabaja como profesional (por ejemplo medico, abogado, ingeniero);Trabaja por cuenta propia (por ejemplo plomero, electricista);0;INGENIERIA AMBIENTAL;3;3;2;3;2;163
M;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;No realiza ninguna prueba de preparacion;Tecnica o tecnologica completa;Secundaria (Bachillerato) completa;1;Si;Si;Trabaja por cuenta propia (por ejemplo plomero, electricista);Trabaja en el hogar, no trabaja o estudia;0;INGENIERIA AMBIENTAL;3;2;3;3;3;166
M;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;No realiza ninguna prueba de preparacion;Primaria incompleta;Primaria completa;2;Si;Si;Trabaja por cuenta propia (por ejemplo plomero, electricista);Trabaja en el hogar, no trabaja o estudia;Entre 11 y 20 horas;INGENIERIA AMBIENTAL;3;3;3;3;3;186
F;Cabecera Municipal;Menos de 500 mil;No;No;Si;Si;Repasa por cuenta propia;Primaria incompleta;Secundaria (Bachillerato) completa;1;Si;Si;Trabaja como personal de limpieza, mantenimiento, seguridad o construccion;Trabaja como personal de limpieza, mantenimiento, seguridad o construccion;Menos de 10 horas;INGENIERIA AMBIENTAL;3;3;3;3;3;181
M;Cabecera Municipal;Menos de 500 mil;Si;No;No;No;No realiza ninguna prueba de preparacion;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;2;Si;Si;Ninguno;Es vendedor o trabaja en atencion al publico;Entre 11 y 20 horas;INGENIERIA AMBIENTAL;3;3;3;2;2;161
F;Cabecera Municipal;Menos de 500 mil;Si;No;No;No;Repasa por cuenta propia;Ninguno;Ninguno;1;No;No;Es agricultor, pesquero o jornalero;Es agricultor, pesquero o jornalero;Menos de 10 horas;INGENIERIA AMBIENTAL;2;1;2;2;3;120
F;Cabecera Municipal;Menos de 500 mil;No;Si;No;No;Repasa por cuenta propia;Educacion profesional incompleta;Tecnica o tecnologica completa;1;Si;Si;Es vendedor o trabaja en atencion al publico;Es due駉 de un negocio peque駉 (tiene pocos empleados o no tiene, por ejemplo tienda, papelera, etc;Entre 21 y 30 horas;INGENIERIA AMBIENTAL;3;3;2;3;2;146
F;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;No realiza ninguna prueba de preparacion;Primaria completa;Primaria completa;1;Si;Si;Es due駉 de un negocio peque駉 (tiene pocos empleados o no tiene, por ejemplo tienda, papelera, etc;Trabaja en el hogar, no trabaja o estudia;Menos de 10 horas;INGENIERIA AMBIENTAL;3;3;3;3;2;161
M;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;No realiza ninguna prueba de preparacion;Educacion profesional completa;Educacion profesional completa;2;Si;Si;Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);Trabaja como profesional (por ejemplo medico, abogado, ingeniero);0;INGENIERIA AMBIENTAL;3;3;2;3;2;176
F;Area Rural;Menos de 500 mil;No;No;Si;No;No realiza ninguna prueba de preparacion;Primaria incompleta;Secundaria (Bachillerato) completa;1;Si;Si;Es agricultor, pesquero o jornalero;Es due駉 de un negocio peque駉 (tiene pocos empleados o no tiene, por ejemplo tienda, papelera, etc;Entre 11 y 20 horas;INGENIERIA AMBIENTAL;2;2;2;2;2;125
F;Cabecera Municipal;Menos de 500 mil;No;No;No;Si;No realiza ninguna prueba de preparacion;Educacion profesional completa;Educacion profesional completa;3;Si;Si;Ninguno;Trabaja en el hogar, no trabaja o estudia;Entre 21 y 30 horas;INGENIERIA AMBIENTAL;3;3;2;2;3;159
M;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;Repasa por cuenta propia;Primaria incompleta;Primaria incompleta;1;Si;Si;Es agricultor, pesquero o jornalero;Es agricultor, pesquero o jornalero;0;INGENIERIA AMBIENTAL;3;3;3;3;3;172
F;Area Rural;Menos de 500 mil;No;No;Si;No;No realiza ninguna prueba de preparacion;Ninguno;Ninguno;1;Si;Si;Es due駉 de un negocio peque駉 (tiene pocos empleados o no tiene, por ejemplo tienda, papelera, etc;Trabaja en el hogar, no trabaja o estudia;Menos de 10 horas;INGENIERIA AMBIENTAL;3;2;2;2;3;144
M;Cabecera Municipal;Menos de 500 mil;No;No;Si;Si;Repasa por cuenta propia;Tecnica o tecnologica completa;Secundaria (Bachillerato) completa;3;Si;Si;Es due駉 de un negocio peque駉 (tiene pocos empleados o no tiene, por ejemplo tienda, papelera, etc;Es due駉 de un negocio peque駉 (tiene pocos empleados o no tiene, por ejemplo tienda, papelera, etc;Menos de 10 horas;INGENIERIA AMBIENTAL;2;2;3;2;2;144
F;Cabecera Municipal;Menos de 500 mil;Si;No;Si;Si;No realiza ninguna prueba de preparacion;Primaria incompleta;Primaria incompleta;1;Si;Si;Ninguno;Trabaja en el hogar, no trabaja o estudia;Entre 11 y 20 horas;INGENIERIA AMBIENTAL;3;3;3;3;3;180
M;Area Rural;Menos de 500 mil;No;Si;No;Si;Repasa por cuenta propia;Primaria incompleta;Primaria incompleta;;Si;Si;Trabaja como personal de limpieza, mantenimiento, seguridad o construccion;Es operario de maquinas o conduce vehiculos (taxita, chofer);Mas de 30 horas;INGENIERIA AMBIENTAL;2;2;2;2;2;122
M;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;Repasa por cuenta propia;Ninguno;Tecnica o tecnologica completa;1;Si;Si;Pensionado;Trabaja en el hogar, no trabaja o estudia;Menos de 10 horas;INGENIERIA AMBIENTAL;3;3;3;3;2;162
F;Area Rural;Menos de 500 mil;Si;No;Si;No;Toma un curso de preparacion;Primaria incompleta;Primaria incompleta;1;No;No;Trabaja por cuenta propia (por ejemplo plomero, electricista);Trabaja en el hogar, no trabaja o estudia;Menos de 10 horas;INGENIERIA AMBIENTAL;3;2;3;2;3;166
M;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;Repasa por cuenta propia;Postgrado;Postgrado;1;Si;Si;Trabaja como profesional (por ejemplo medico, abogado, ingeniero);Trabaja como profesional (por ejemplo medico, abogado, ingeniero);Menos de 10 horas;INGENIERIA AGROFORESTAL;2;2;2;3;3;138
F;Cabecera Municipal;Menos de 500 mil;Si;Si;Si;Si;Repasa por cuenta propia;Tecnica o tecnologica completa;Tecnica o tecnologica completa;2;Si;;Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);Trabaja en el hogar, no trabaja o estudia;Mas de 30 horas;INGENIERIA AGROFORESTAL;2;3;3;3;2;155
M;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;Repasa por cuenta propia;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;3;Si;Si;Trabaja por cuenta propia (por ejemplo plomero, electricista);Trabaja por cuenta propia (por ejemplo plomero, electricista);Menos de 10 horas;INGENIERIA AGROFORESTAL;3;3;3;3;2;163
M;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;Repasa por cuenta propia;Secundaria (Bachillerato) completa;Tecnica o tecnologica incompleta;1;No;Si;Es due駉 de un negocio peque駉 (tiene pocos empleados o no tiene, por ejemplo tienda, papelera, etc;No aplica;Menos de 10 horas;INGENIERIA AGROFORESTAL;3;2;2;2;2;128
F;Cabecera Municipal;Menos de 500 mil;No;No;Si;Si;Repasa por cuenta propia;;Tecnica o tecnologica completa;1;No;Si;;Trabaja como personal de limpieza, mantenimiento, seguridad o construcci贸n;Entre 21 y 30 horas;INGENIERIA AGROFORESTAL;2;2;2;2;3;113
F;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;Repasa por cuenta propia;;;;;;;;;INGENIERIA AGROFORESTAL;3;3;3;3;2;181
M;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;Repasa por cuenta propia;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;1;Si;Si;Es due駉 de un negocio peque駉 (tiene pocos empleados o no tiene, por ejemplo tienda, papelera, etc;Es due駉 de un negocio peque駉 (tiene pocos empleados o no tiene, por ejemplo tienda, papelera, etc;Mas de 30 horas;INGENIERIA AGROFORESTAL;2;2;2;2;2;123
F;Cabecera Municipal;Menos de 500 mil;Si;No;No;No;Toma un curso de preparacion;Primaria completa;Educacion profesional completa;1;No;;Trabaja como personal de limpieza, mantenimiento, seguridad o construccion;Es vendedor o trabaja en atencion al publico;Entre 11 y 20 horas;INGENIERIA AGROFORESTAL;2;2;2;2;2;105
F;Cabecera Municipal;Menos de 500 mil;Si;No;No;No;Repasa por cuenta propia;Ninguno;Primaria incompleta;2;Si;Si;Ninguno;Es agricultor, pesquero o jornalero;Menos de 10 horas;INGENIERIA AGROFORESTAL;3;2;3;3;3;156
M;Cabecera Municipal;Menos de 500 mil;No;No;Si;Si;No realiza ninguna prueba de preparacion;;;1;Si;Si;Es due駉 de un negocio grande, tiene un cargo de nivel directivo o gerencial;Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);Menos de 10 horas;INGENIERIA AGROFORESTAL;2;2;2;2;3;132
