ESTU_GENERO;FAMI_VIVIENDA;FAMI_EDUCACIONPADRE;FAMI_EDUCACIONMADRE;FAMI_TRABAJOLABORPADRE;FAMI_TRABAJOLABORMADRE;FAMI_TIENEINTERNET;FAMI_TIENECOMPUTADOR;FAMI_NUMLIBROS;FAMI_SITUACIONECONOMICA;ESTU_DEDICACIONLECTURADIARIA;ESTU_DEDICACIONINTERNET;COLE_NATURALEZA;COLE_CALENDARIO;COLE_BILINGUE;COLE_AREA_UBICACION;COLE_JORNADA;PUNT_LECTURA_CRITICA;PUNT_MATEMATICAS;PUNT_C_NATURALES;PUNT_SOCIALES_CIUDADANAS;PUNT_INGLES;PUNT_GLOBAL
M;Estrato 1;Primaria;Bachillerato;Empleado;Empleado;No;No;0 A 10 LIBROS;Igual;No leo por entretenimiento;Entre 1 y 3 horas;OFICIAL;A;S;URBANO;MAÑANA;34;46;35;39;42;194
F;;;;Empleado;Empleado;;No;;Igual;;;NO OFICIAL;A;;URBANO;SABATINA;45;35;31;52;37;202
M;Estrato 1;Bachillerato;Bachillerato;Empleado;Empleado;No;No;0 A 10 LIBROS;Peor;Entre 1 y 3 horas;Entre 30 y 60 minutos;OFICIAL;A;N;URBANO;MAÑANA;65;59;63;63;71;316
M;Estrato 6;profesional;Bachillerato;Empleado;Empleado;Si;Si;26 A 100 LIBROS;Igual;Mas de 2 horas;Entre 30 y 60 minutos;OFICIAL;A;N;URBANO;MAÑANA;57;60;28;38;41;227
M;Estrato 1;Bachillerato;Bachillerato;Empleado;Empleado;Si;No;0 A 10 LIBROS;Igual;Entre 30 y 60 minutos;Mas de 3 horas;OFICIAL;A;;RURAL;MAÑANA;41;64;48;40;47;241
M;1;Primaria;Primaria;Empleado;Empleado;No;Si;11 A 25 LIBROS;Mejor;Entre 1 y 3 horas;Entre 30 y 60 minutos;OFICIAL;A;S;URBANO;NOCHE;37;47;47;31;40;202
M;Estrato 1;Ninguno;Ninguno;Empleado;Empleado;Si;Si;11 A 25 LIBROS;;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;MAÑANA;60;58;59;66;59;303
F;Estrato 1;Ninguno;Primaria;Empleado;Empleado;No;No;0 A 10 LIBROS;Igual;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;;RURAL;MAÑANA;37;48;43;44;50;218
F;Estrato 3;Primaria;Bachillerato;Ninguno;Empleado;Si;No;11 A 25 LIBROS;Peor;Entre 30 y 60 minutos;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;MAÑANA;39;33;38;32;34;177
F;Estrato 1;Primaria;Primaria;Ninguno;Ninguno;No;No;0 A 10 LIBROS;Peor;Entre 1 y 3 horas;Entre 30 y 60 minutos;NO OFICIAL;A;;URBANO;SABATINA;53;38;47;45;41;227
F;;;;Empleado;Empleado;;No;;Igual;;;OFICIAL;A;N;URBANO;NOCHE;43;40;38;38;49;202
F;;;;;;;;;;;;OFICIAL;A;N;RURAL;UNICA;58;46;55;59;43;268
M;Estrato 6;Bachillerato;Ninguno;Empleado;Empleado;Si;No;26 A 100 LIBROS;Peor;No leo por entretenimiento;Entre 1 y 3 horas;NO OFICIAL;A;;URBANO;SABATINA;36;22;35;29;45;158
F;Sin Estrato;Primaria;Primaria;Empleado;Empleado;No;No;0 A 10 LIBROS;Igual;No leo por entretenimiento;Entre 1 y 3 horas;NO OFICIAL;A;;URBANO;SABATINA;60;56;56;61;52;289
M;2;Ninguno;Ninguno;Empleado;Empleado;Si;Si;26 A 100 LIBROS;Igual;Entre 1 y 3 horas;Mas de 3 horas;NO OFICIAL;A;N;URBANO;MAÑANA;64;58;52;68;62;303
F;Estrato 1;Primaria;Primaria;Empleado;Empleado;Si;No;0 A 10 LIBROS;Igual;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;MAÑANA;41;30;36;49;51;200
F;Estrato 1;Bachillerato;Primaria;Empleado;Empleado;Si;Si;26 A 100 LIBROS;Igual;Entre 1 y 3 horas;Entre 30 y 60 minutos;OFICIAL;A;N;RURAL;MAÑANA;51;41;41;28;44;203
F;Estrato 1;Ninguno;Primaria;Ninguno;Empleado;Si;Si;0 A 10 LIBROS;Igual;Entre 30 y 60 minutos;Mas de 3 horas;OFICIAL;A;N;URBANO;UNICA;62;66;65;67;61;323
F;Estrato 1;Ninguno;Primaria;Ninguno;Empleado;No;No;0 A 10 LIBROS;Igual;Entre 1 y 3 horas;Entre 30 y 60 minutos;OFICIAL;A;N;RURAL;UNICA;51;42;39;34;45;209
F;1;Primaria;Bachillerato;Empleado;Empleado;Si;Si;11 A 25 LIBROS;Mejor;Entre 1 y 3 horas;Entre 30 y 60 minutos;NO OFICIAL;A;;URBANO;TARDE;42;37;39;33;40;190
F;Estrato 3;Primaria;Primaria;Empleado;Empleado;No;Si;0 A 10 LIBROS;Mejor;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;SABATINA;42;33;37;41;35;190
F;;;;Empleado;Empleado;;Si;;Igual;;;OFICIAL;A;N;URBANO;NOCHE;36;25;32;25;38;151
F;Estrato 2;Primaria;Primaria;Empleado;Empleado;No;No;0 A 10 LIBROS;Igual;Entre 1 y 3 horas;Entre 30 y 60 minutos;OFICIAL;A;;RURAL;MAÑANA;31;45;46;37;34;197
F;Estrato 1;Bachillerato;Tecnica o tecnoligica;Empleado;Empleado;No;No;26 A 100 LIBROS;Igual;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;MAÑANA;44;59;53;46;61;257
F;;;;Empleado;Empleado;;No;;Igual;;;OFICIAL;A;N;URBANO;UNICA;39;29;39;37;37;180
F;3;Postgrado;Postgrado;Ninguno;Empleado;Si;Si;MAS DE 100 LIBROS;Igual;Entre 1 y 3 horas;Entre 1 y 3 horas;NO OFICIAL;A;S;URBANO;MAÑANA;75;81;70;75;74;376
F;Estrato 1;Ninguno;Ninguno;Ninguno;Ninguno;Si;No;0 A 10 LIBROS;Igual;Entre 1 y 3 horas;Mas de 3 horas;OFICIAL;A;N;URBANO;MAÑANA;32;30;30;40;37;167
F;;;;Ninguno;Ninguno;;No;;Igual;;;OFICIAL;A;N;URBANO;MAÑANA;53;41;28;34;53;200
F;1;Ninguno;Primaria;Empleado;Empleado;No;No;11 A 25 LIBROS;Igual;Mas de 2 horas;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;NOCHE;54;39;48;54;56;247
F;Estrato 1;Ninguno;Primaria;Ninguno;Empleado;No;No;0 A 10 LIBROS;Igual;Entre 1 y 3 horas;Entre 1 y 3 horas;NO OFICIAL;A;N;URBANO;MAÑANA;52;55;41;47;60;248
F;Estrato 1;Primaria;Primaria;Empleado;Empleado;Si;Si;11 A 25 LIBROS;Igual;Entre 30 y 60 minutos;Entre 30 y 60 minutos;OFICIAL;A;N;URBANO;MAÑANA;62;60;62;62;60;307
F;1;Ninguno;Ninguno;Empleado;Empleado;Si;No;0 A 10 LIBROS;Igual;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;N;RURAL;UNICA;49;49;38;38;44;218
F;;;;Empleado;Empleado;;Si;;Igual;;;OFICIAL;A;N;RURAL;MAÑANA;50;39;44;45;49;224
F;Estrato 3;profesional;Ninguno;Empleado;Empleado;Si;Si;26 A 100 LIBROS;Igual;Entre 30 y 60 minutos;Entre 30 y 60 minutos;OFICIAL;A;N;URBANO;TARDE;69;73;73;69;76;357
F;Estrato 1;Primaria;Primaria;Empleado;Ninguno;No;No;0 A 10 LIBROS;Mejor;Entre 1 y 3 horas;Mas de 3 horas;NO OFICIAL;A;;URBANO;SABATINA;39;31;36;29;36;170
F;;Primaria;Primaria;Empleado;Empleado;Si;Si;;Peor;;;OFICIAL;A;;RURAL;MAÑANA;65;64;58;63;59;311
F;Sin Estrato;Bachillerato;Bachillerato;Empleado;Empleado;No;Si;11 A 25 LIBROS;Igual;Entre 1 y 3 horas;No Navega Internet;OFICIAL;A;N;URBANO;MAÑANA;45;28;38;26;44;175
F;1;Bachillerato;Ninguno;Empleado;Ninguno;No;No;0 A 10 LIBROS;Igual;Entre 30 y 60 minutos;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;UNICA;61;59;52;50;54;277
F;Estrato 3;Bachillerato;Bachillerato;Ninguno;Empleado;No;Si;0 A 10 LIBROS;Igual;Entre 1 y 3 horas;Entre 30 y 60 minutos;OFICIAL;A;N;URBANO;MAÑANA;43;33;32;44;28;186
F;;;;Empleado;Empleado;;Si;;Mejor;;;OFICIAL;A;N;RURAL;MAÑANA;36;26;31;29;30;152
F;;;;Empleado;Empleado;;Si;;;;;OFICIAL;A;N;URBANO;MAÑANA;41;38;29;30;37;173
F;;;;;;;No;;Mejor;;;OFICIAL;A;N;URBANO;TARDE;42;54;44;34;34;214
F;Estrato 1;Primaria;Primaria;Empleado;Empleado;No;No;0 A 10 LIBROS;Igual;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;MAÑANA;61;61;42;55;45;270
F;;;;;;;;;;;;OFICIAL;A;N;URBANO;MAÑANA;33;41;33;33;38;176
F;Estrato 2;Bachillerato;profesional;Empleado;Empleado;Si;Si;26 A 100 LIBROS;Mejor;Entre 1 y 3 horas;Entre 30 y 60 minutos;OFICIAL;A;N;URBANO;MAÑANA;55;54;53;49;56;265
F;Sin Estrato;Primaria;Primaria;Empleado;Empleado;Si;No;0 A 10 LIBROS;Igual;Entre 30 y 60 minutos;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;MAÑANA;39;45;33;33;36;187
F;;;;;;;;;;;;OFICIAL;A;N;URBANO;MAÑANA;51;53;55;55;55;268
F;Sin Estrato;Bachillerato;Bachillerato;Empleado;Empleado;Si;No;0 A 10 LIBROS;Igual;Entre 30 y 60 minutos;Entre 30 y 60 minutos;NO OFICIAL;A;;URBANO;SABATINA;51;45;46;48;34;232
F;Estrato 2;Bachillerato;Bachillerato;Empleado;Empleado;No;No;0 A 10 LIBROS;Mejor;Entre 1 y 3 horas;Mas de 3 horas;OFICIAL;A;S;URBANO;MAÑANA;34;43;43;41;37;200
F;;;;;;;;;;;;OFICIAL;A;;URBANO;UNICA;53;47;44;48;46;239
F;Estrato 1;Primaria;Primaria;Empleado;Empleado;No;No;11 A 25 LIBROS;Igual;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;N;RURAL;MAÑANA;49;47;48;40;41;228
F;2;Primaria;Bachillerato;Empleado;Empleado;Si;No;11 A 25 LIBROS;Igual;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;N;RURAL;MAÑANA;46;50;48;29;42;216
F;;;;Empleado;Empleado;;Si;;Igual;;;OFICIAL;A;N;URBANO;TARDE;69;59;66;59;52;312
F;Estrato 1;Primaria;Bachillerato;Ninguno;Empleado;Si;No;0 A 10 LIBROS;Igual;No leo por entretenimiento;Mas de 3 horas;OFICIAL;A;N;URBANO;MAÑANA;38;44;41;36;43;200
F;Estrato 2;profesional;Tecnica o tecnoligica;Empleado;Empleado;Si;Si;11 A 25 LIBROS;Mejor;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;MAÑANA;61;56;42;34;52;243
M;Estrato 2;Primaria;Primaria;Empleado;Empleado;No;No;0 A 10 LIBROS;Peor;Entre 1 y 3 horas;Entre 30 y 60 minutos;OFICIAL;A;N;RURAL;MAÑANA;44;49;45;41;35;220
M;;;;Ninguno;Empleado;;No;;Mejor;;;NO OFICIAL;A;;URBANO;SABATINA;52;29;43;41;54;211
M;Estrato 4;Primaria;Bachillerato;Empleado;Empleado;Si;Si;0 A 10 LIBROS;Igual;Entre 30 y 60 minutos;Entre 30 y 60 minutos;OFICIAL;A;N;RURAL;MAÑANA;49;23;40;39;35;188
M;Estrato 1;Bachillerato;profesional;Empleado;Empleado;Si;Si;11 A 25 LIBROS;Igual;Entre 1 y 3 horas;Entre 30 y 60 minutos;NO OFICIAL;A;;URBANO;MAÑANA;49;47;41;52;55;239
M;Estrato 2;Primaria;Bachillerato;Empleado;Empleado;Si;Si;11 A 25 LIBROS;Igual;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;MAÑANA;49;57;61;58;48;278
F;2;Bachillerato;Bachillerato;Empleado;Empleado;Si;Si;0 A 10 LIBROS;Igual;Entre 1 y 3 horas;Entre 30 y 60 minutos;NO OFICIAL;A;N;URBANO;MAÑANA;56;59;49;46;46;260
M;;Tecnica o tecnoligica;Bachillerato;Empleado;Empleado;;No;;Peor;;;OFICIAL;A;N;URBANO;MAÑANA;51;50;39;37;37;218
F;Estrato 1;Ninguno;Primaria;Ninguno;Empleado;Si;No;26 A 100 LIBROS;Igual;Entre 1 y 3 horas;Entre 30 y 60 minutos;NO OFICIAL;A;;URBANO;SABATINA;36;26;41;41;45;183
F;1;Primaria;Bachillerato;Empleado;Ninguno;Si;No;0 A 10 LIBROS;Igual;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;;URBANO;UNICA;68;61;68;63;100;338
F;Estrato 2;Tecnica o tecnoligica;Bachillerato;Empleado;Empleado;Si;Si;0 A 10 LIBROS;Igual;Entre 30 y 60 minutos;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;MAÑANA;62;66;63;53;58;304
F;;;;;;;;;;;;OFICIAL;A;N;URBANO;TARDE;52;72;63;51;60;298
F;Estrato 3;Primaria;Primaria;Empleado;Empleado;No;No;0 A 10 LIBROS;Igual;Entre 30 y 60 minutos;Entre 30 y 60 minutos;OFICIAL;A;N;RURAL;MAÑANA;51;51;50;43;45;242
M;3;profesional;Bachillerato;Empleado;Empleado;Si;Si;26 A 100 LIBROS;Igual;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;MAÑANA;73;77;71;75;66;367
F;Estrato 1;Ninguno;Bachillerato;Ninguno;Empleado;No;No;26 A 100 LIBROS;Igual;Mas de 2 horas;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;MAÑANA;43;67;47;48;55;258
F;Estrato 1;Primaria;Primaria;Empleado;Empleado;Si;No;26 A 100 LIBROS;;Entre 30 y 60 minutos;Entre 1 y 3 horas;OFICIAL;A;N;RURAL;MAÑANA;51;52;52;49;39;250
F;;Primaria;;Empleado;Empleado;No;No;;Igual;Entre 1 y 3 horas;;NO OFICIAL;A;;URBANO;SABATINA;29;25;29;38;34;153
F;Estrato 1;Primaria;Primaria;Empleado;Empleado;No;No;0 A 10 LIBROS;Mejor;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;MAÑANA;59;64;56;60;43;292
M;Estrato 1;Bachillerato;Bachillerato;Empleado;Empleado;No;No;0 A 10 LIBROS;Igual;Entre 1 y 3 horas;Entre 30 y 60 minutos;OFICIAL;A;S;URBANO;MAÑANA;38;49;44;37;45;211
M;1;Ninguno;Bachillerato;Ninguno;Empleado;No;No;0 A 10 LIBROS;Igual;Entre 1 y 3 horas;Entre 30 y 60 minutos;OFICIAL;A;N;URBANO;MAÑANA;49;54;52;53;43;257
M;2;Bachillerato;profesional;Empleado;Empleado;Si;Si;0 A 10 LIBROS;Igual;Entre 1 y 3 horas;Entre 30 y 60 minutos;OFICIAL;A;N;URBANO;MAÑANA;79;75;73;70;69;369
F;Estrato 1;Bachillerato;Bachillerato;Empleado;Empleado;No;Si;11 A 25 LIBROS;Igual;Entre 30 y 60 minutos;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;UNICA;60;64;59;48;63;291
F;Estrato 1;Bachillerato;Bachillerato;Empleado;Empleado;No;No;0 A 10 LIBROS;Igual;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;MAÑANA;36;45;35;34;45;190
F;Estrato 1;Bachillerato;Primaria;Empleado;Empleado;No;No;0 A 10 LIBROS;Peor;No leo por entretenimiento;No Navega Internet;OFICIAL;A;N;URBANO;MAÑANA;48;49;42;42;33;222
M;Sin Estrato;Primaria;Bachillerato;Empleado;Ninguno;No;No;0 A 10 LIBROS;Igual;Entre 30 y 60 minutos;Entre 1 y 3 horas;OFICIAL;A;;RURAL;MAÑANA;48;31;33;38;37;187
F;;;;Empleado;Ninguno;;Si;;Igual;;;OFICIAL;A;N;URBANO;TARDE;57;63;43;55;56;273
F;Estrato 1;Primaria;Primaria;Empleado;Empleado;No;No;0 A 10 LIBROS;Mejor;Entre 1 y 3 horas;Entre 30 y 60 minutos;OFICIAL;A;N;URBANO;MAÑANA;37;31;37;40;44;184
F;Estrato 1;Primaria;Bachillerato;Empleado;Empleado;Si;Si;26 A 100 LIBROS;Igual;Entre 1 y 3 horas;Mas de 3 horas;OFICIAL;A;N;RURAL;UNICA;60;53;56;43;52;265
F;1;Bachillerato;Bachillerato;Ninguno;Empleado;Si;Si;0 A 10 LIBROS;Igual;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;MAÑANA;70;65;71;66;62;338
F;Estrato 2;Primaria;Primaria;Empleado;Empleado;No;Si;0 A 10 LIBROS;Igual;Entre 1 y 3 horas;Entre 30 y 60 minutos;OFICIAL;A;N;RURAL;MAÑANA;74;67;65;65;73;341
F;Estrato 3;Bachillerato;Bachillerato;Empleado;Empleado;Si;No;26 A 100 LIBROS;;Entre 30 y 60 minutos;Entre 30 y 60 minutos;OFICIAL;A;N;RURAL;UNICA;55;48;43;38;42;228
F;Estrato 2;Primaria;Primaria;Ninguno;Empleado;No;No;11 A 25 LIBROS;Igual;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;SABATINA;44;40;42;32;55;203
M;;Primaria;Primaria;Empleado;Empleado;No;No;26 A 100 LIBROS;Igual;Entre 30 y 60 minutos;Entre 1 y 3 horas;OFICIAL;A;N;RURAL;MAÑANA;55;59;47;50;54;264
F;3;profesional;Bachillerato;Empleado;Empleado;Si;Si;11 A 25 LIBROS;Igual;Entre 30 y 60 minutos;Entre 1 y 3 horas;NO OFICIAL;A;N;URBANO;MAÑANA;63;68;63;56;56;310
F;;;;;;;;;;;;OFICIAL;A;N;URBANO;MAÑANA;41;40;36;40;46;199
F;3;Bachillerato;Bachillerato;Empleado;Empleado;Si;Si;11 A 25 LIBROS;Igual;No leo por entretenimiento;Mas de 3 horas;OFICIAL;A;N;URBANO;MAÑANA;68;58;64;68;68;324
F;Estrato 6;Primaria;Primaria;Pensionado;Ninguno;No;No;0 A 10 LIBROS;Igual;Entre 30 y 60 minutos;Entre 30 y 60 minutos;OFICIAL;A;N;RURAL;MAÑANA;42;42;38;27;34;185
F;Estrato 3;Bachillerato;Postgrado;Empleado;Empleado;Si;No;0 A 10 LIBROS;Igual;Entre 30 y 60 minutos;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;UNICA;51;45;44;49;47;236
F;;;;Empleado;Empleado;;No;;Peor;;;OFICIAL;A;N;URBANO;UNICA;59;60;48;58;42;276
F;Estrato 2;Primaria;Primaria;Empleado;Empleado;Si;No;0 A 10 LIBROS;Igual;No leo por entretenimiento;Entre 1 y 3 horas;OFICIAL;A;;RURAL;MAÑANA;52;55;39;33;49;225
F;Estrato 1;Primaria;Primaria;Empleado;Empleado;No;No;0 A 10 LIBROS;Igual;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;N;RURAL;MAÑANA;35;47;37;43;46;205
F;2;Tecnica o tecnoligica;Tecnica o tecnoligica;Empleado;Empleado;Si;Si;26 A 100 LIBROS;Peor;Entre 1 y 3 horas;Entre 30 y 60 minutos;OFICIAL;A;N;URBANO;MAÑANA;42;49;49;39;38;221
F;Estrato 1;Primaria;Primaria;Empleado;Empleado;Si;No;0 A 10 LIBROS;Igual;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;MAÑANA;54;49;44;48;48;243
F;2;profesional;profesional;Ninguno;Ninguno;No;No;0 A 10 LIBROS;Peor;No leo por entretenimiento;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;SABATINA;60;55;41;30;53;235
